0;Сураж.Журбин Граница,сураж.журбин  ица,Сураж.Журбин,суражжурбин,Сураж-ЖурбинГраница,сураж журбин граница,сураж-журбин граница,Сураж-Журбин Граница,Сураж Журбин Граница,сураж.журбин,СуражЖурбин Граница,суражжурбин  ица,сураж журбин  ица,суражжурбин граница,Сураж-Журбин,сураж-журбин.граница,Сураж-Журбиница,Сураж Журбин  ица,сураж-журбиница,сураж-журбин..ица,Сураж-Журбин  ица,сураж-журбин--ица,Сураж-Журбин-Граница,СуражЖурбин  ица,Сураж-Журбин..ица,Сураж-Журбин--ица,сураж-журбинграница,СуражЖурбин,Сураж.Журбин  ица,сураж-журбин,сураж.журбин граница,сураж-журбин  ица,Сураж Журбин,сураж журбин,Сураж-Журбин.Граница,сураж-журбин-граница;{"name": "Сураж-Журбин Граница", "number": "20215", "stations_names": "Сураж-Журбин Граница", "stations_codes": "20215"}
1;Зёрново.Горожанка Гран,Зёрново Горожанка Гран,зёрново.горожанка гран,ЗёрновоГорожанка Гран,Зёрново.Горожанка,зёрново горожанка гран,зёрново горожанка,зёрновогорожанка гран,зёрново-горожанка.гран,зёрновогорожанка,Зерново-Горожанка Гран,Зёрново-Горожанка-Гран,зёрново-горожанка-гран,зёрново.горожанка,Зёрново-ГорожанкаГран,зёрново-горожанка,Зёрново-Горожанка.Гран,ЗёрновоГорожанка,Зёрново-Горожанка,зерново-горожанка,Зёрново-Горожанка Гран,Зерново-Горожанка,зёрново-горожанкагран,Зёрново Горожанка,зерново-горожанка гран,зёрново-горожанка гран;{"name": "Зёрново-Горожанка Гран", "number": "20221", "stations_names": "Зёрново-Горожанка Гран", "stations_codes": "20221"}
2;тополисоловей,тополисоловей  ица,Тополи-Соловей..ица,тополи-соловей,Тополи-Соловей--ица,ТополиСоловей  ица,Тополи.Соловей  ица,Тополи.Соловей Граница,Тополи-Соловей  ица,ТополиСоловей Граница,тополи-соловей..ица,Тополи-Соловей Граница,тополи-соловейграница,Тополи.Соловей,тополи-соловейица,тополи.соловей,тополисоловей граница,тополи-соловей  ица,Тополи-Соловейица,тополи соловей граница,тополи соловей  ица,Тополи-Соловей-Граница,ТополиСоловей,тополи соловей,Тополи Соловей,Тополи-СоловейГраница,тополи.соловей  ица,тополи-соловей граница,тополи-соловей-граница,тополи-соловей.граница,Тополи Соловей Граница,тополи.соловей граница,Тополи Соловей  ица,Тополи-Соловей.Граница,тополи-соловей--ица,Тополи-Соловей;{"name": "Тополи-Соловей Граница", "number": "20229", "stations_names": "Тополи-Соловей Граница", "stations_codes": "20229"}
3;Нестеров.Кибартай Гран,Нестеров-Кибартай Гран,нестеровкибартай,нестеров-кибартай.гран,Нестеров Кибартай,Нестеров Кибартай Гран,нестеров-кибартай,нестеров кибартай гран,Нестеров-Кибартай.Гран,Нестеров-Кибартай,нестеров-кибартай гран,НестеровКибартай,Нестеров-Кибартай-Гран,Нестеров.Кибартай,нестеров-кибартайгран,нестеров кибартай,нестеров.кибартай гран,нестеров-кибартай-гран,Нестеров-КибартайГран,нестеровкибартай гран,нестеров.кибартай,НестеровКибартай Гран;{"name": "Нестеров-Кибартай Гран", "number": "20242", "stations_names": "Нестеров-Кибартай Гран", "stations_codes": "20242"}
4;Хасан-Туманган,хасан-туманган,Хасан.Туманган,хасантуманган,хасан.туманган,Хасан Туманган,хасан туманган,ХасанТуманган;{"name": "Хасан-Туманган", "number": "20301", "stations_names": "Хасан-Туманган", "stations_codes": "20301"}
5;Шуховцы Красное Гран,ШуховцыКрасное Гран,шуховцы-красное,шуховцы красное гран,ШуховцыКрасное,шуховцы красное,Шуховцы.Красное,Шуховцы Красное,шуховцы.красное,Шуховцы-КрасноеГран,шуховцы-красное гран,Шуховцы.Красное Гран,шуховцы-красное.гран,шуховцыкрасное,шуховцы-красноегран,шуховцыкрасное гран,Шуховцы-Красное-Гран,Шуховцы-Красное.Гран,Шуховцы-Красное Гран,шуховцы-красное-гран,Шуховцы-Красное,шуховцы.красное гран;{"name": "Шуховцы-Красное Гран.", "number": "21201", "stations_names": "Шуховцы-Красное Гран.", "stations_codes": "21201"}
6;Езерище-ЗавережьеГран,ЕзерищеЗавережье,Езерище Завережье Гран,езерище-завережье.гран,Езерище.Завережье,ЕзерищеЗавережье Гран,Езерище-Завережье.Гран,езерище.завережье,Езерище.Завережье Гран,езерище завережье,езерище-завережье,езерище-завережье гран,Езерище-Завережье Гран,Езерище Завережье,езерище.завережье гран,езерище-завережьегран,Езерище-Завережье-Гран,езерищезавережье гран,езерище завережье гран,езерище-завережье-гран,Езерище-Завережье,езерищезавережье;{"name": "Езерище-Завережье Гран", "number": "21202", "stations_names": "Езерище-Завережье Гран", "stations_codes": "21202"}
7;Тереховка-Хоробичи Гр,ТереховкаХоробичи Гр,Тереховка-Хоробичи.Гр,Тереховка Хоробичи Гр,Тереховка Хоробичи,тереховка-хоробичи-гр,Тереховка-ХоробичиГр,тереховка.хоробичи гр,тереховка-хоробичигр,ТереховкаХоробичи,Тереховка-Хоробичи,тереховка-хоробичи,Тереховка.Хоробичи Гр,тереховка-хоробичи.гр,Тереховка.Хоробичи,тереховкахоробичи,тереховкахоробичи гр,тереховка-хоробичи гр,тереховка.хоробичи,тереховка хоробичи,тереховка хоробичи гр,Тереховка-Хоробичи-Гр;{"name": "Тереховка-Хоробичи Гр.", "number": "21223", "stations_names": "Тереховка-Хоробичи Гр.", "stations_codes": "21223"}
8;Брест.Тересполь,Брест Тересполь,Брест-Тересполь,БрестТересполь,брест-тересполь,брест тересполь,бресттересполь,брест.тересполь;{"name": "Брест-Тересполь", "number": "21514", "stations_names": "Брест-Тересполь", "stations_codes": "21514"}
9;Красн.могилаЗаповедн,Красн могила-Заповедн,Красн.могила Заповедн,Красн.могила-Заповедн,краснмогила-заповедн,красн.могилазаповедн,Красн.могила.Заповедн,Краснмогила-Заповедн,красн.могила заповедн,красн.могила.заповедн,красн.могила-заповедн,Красн-могила-Заповедн,красн могила-заповедн,красн-могила-заповедн;{"name": "Красн.могила-Заповедн.", "number": "22208", "stations_names": "Красн.могила-Заповедн.", "stations_codes": "22208"}
10;Новосавицкая.Кучурган,НовосавицкаяКучурган,Новосавицкая Кучурган,новосавицкая-кучурган,новосавицкая кучурган,новосавицкая.кучурган,Новосавицкая-Кучурган,новосавицкаякучурган;{"name": "Новосавицкая-Кучурган", "number": "22231", "stations_names": "Новосавицкая-Кучурган", "stations_codes": "22231"}
11;мостискамедыка,Мостиска-Медыка,МостискаМедыка,мостиска.медыка,мостиска медыка,мостиска-медыка,Мостиска.Медыка,Мостиска Медыка;{"name": "Мостиска-Медыка", "number": "22515", "stations_names": "Мостиска-Медыка", "stations_codes": "22515"}
12;ВадулСирет-Викшани,вадул сирет.викшани,вадул сирет-викшани,Вадул.Сирет-Викшани,вадулсирет-викшани,вадул-сирет-викшани,вадул сиретвикшани,Вадул Сирет Викшани,Вадул СиретВикшани,вадул.сирет-викшани,вадул сирет викшани,Вадул-Сирет-Викшани,Вадул Сирет.Викшани,Вадул Сирет-Викшани;{"name": "Вадул Сирет-Викшани", "number": "22532", "stations_names": "Вадул Сирет-Викшани", "stations_codes": "22532"}
13;унгены.яссы,Унгены.Яссы,унгены-яссы,УнгеныЯссы,унгены яссы,Унгены Яссы,унгеныяссы,Унгены-Яссы;{"name": "Унгены-Яссы", "number": "23531", "stations_names": "Унгены-Яссы", "stations_codes": "23531"}
14;Шумскас Гудогай Границ,шумскас-гудогай-границ,шумскас-гудогай--иц,шумскас-гудогай.границ,шумскас.гудогай границ,Шумскас Гудогай  иц,шумскас гудогай границ,Шумскас-Гудогай--иц,ШумскасГудогай  иц,Шумскас-Гудогайиц,шумскас-гудогай границ,Шумскас-ГудогайГраниц,шумскас.гудогай  иц,Шумскас-Гудогай  иц,шумскас-гудогай  иц,ШумскасГудогай Границ,Шумскас.Гудогай Границ,Шумскас-Гудогай.Границ,Шумскас-Гудогай-Границ,шумскас-гудогай..иц,шумскасгудогай  иц,шумскас-гудогайиц,шумскас-гудогайграниц,Шумскас-Гудогай..иц,Шумскас.Гудогай  иц,шумскасгудогай границ,шумскас гудогай  иц,Шумскас-Гудогай Границ;{"name": "Шумскас-Гудогай Границ", "number": "24213", "stations_names": "Шумскас-Гудогай Границ", "stations_codes": "24213"}
